City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,20,CL,1587212113,80,-53.15,-70.92,42.8,9.17
1,Raja,26,SS,1587212113,5,8.46,25.68,108.28,2.55
2,Mar del Plata,75,AR,1587212012,100,-38.0,-57.56,57.0,13.87
3,Rikitea,10,PF,1587212114,69,-23.12,-134.97,76.8,6.02
4,Puerto del Rosario,40,ES,1587212114,72,28.5,-13.86,68.0,8.05
5,Mataura,68,NZ,1587212114,91,-46.19,168.86,48.99,7.0
6,Ushuaia,75,AR,1587212115,34,-54.8,-68.3,50.0,13.87
7,Dukat,100,RU,1587212115,84,62.55,155.55,-1.14,5.88
8,Saint-Philippe,31,RE,1587212115,69,-21.36,55.77,82.4,24.16
9,Sarkand,66,KZ,1587212115,32,45.41,79.92,60.28,4.38
10,Puerto Ayora,100,EC,1587212116,94,-0.74,-90.35,75.0,6.29
11,Fortuna,90,US,1587212116,100,40.6,-124.16,51.01,2.89
12,Cayenne,90,GF,1587212116,100,4.93,-52.33,77.0,6.96
13,Albany,100,US,1587211898,89,42.6,-73.97,35.01,6.06
14,Jamestown,40,US,1587212061,100,42.1,-79.24,30.99,6.93
15,Cap Malheureux,75,MU,1587212117,74,-19.98,57.61,82.0,16.11
16,Half Moon Bay,90,US,1587212118,62,37.46,-122.43,55.4,5.82
17,Nikolskoye,75,RU,1587212118,56,59.7,30.79,42.8,20.13
18,Hay River,75,CA,1587212118,79,60.82,-115.8,26.6,6.93
19,Hilo,90,US,1587211848,83,19.73,-155.09,71.6,3.36
20,Busselton,100,AU,1587212119,58,-33.65,115.33,64.0,10.47
21,Nouadhibou,20,MR,1587212119,60,20.93,-17.03,73.4,16.11
22,George Town,20,MY,1587212119,79,5.41,100.34,87.8,10.29
23,Neiafu,88,TO,1587212119,81,-18.65,-173.98,80.02,18.72
24,Flinders,36,AU,1587212119,83,-34.58,150.86,55.0,2.37
25,Bexhill,63,AU,1587212120,93,-28.77,153.35,60.01,2.82
26,Eureka,40,US,1587212120,87,40.8,-124.16,53.01,2.84
27,Upernavik,100,GL,1587212120,96,72.79,-56.15,25.75,20.6
28,Lompoc,90,US,1587212121,87,34.64,-120.46,54.0,8.01
29,Norman Wells,75,CA,1587212121,86,65.28,-126.83,28.4,3.36
30,Dikson,100,RU,1587212121,91,73.51,80.55,34.72,15.23
31,Bethel,90,US,1587211825,100,41.37,-73.41,36.0,5.82
32,Bayanday,90,RU,1587211926,50,53.07,105.51,37.85,9.84
33,New Norfolk,91,AU,1587212122,81,-42.78,147.06,48.99,3.83
34,Klaksvík,0,FO,1587212122,75,62.23,-6.59,46.4,19.46
35,Mitú,99,CO,1587212122,92,1.2,-70.17,71.19,3.83
36,Tasiilaq,75,GL,1587212122,89,65.61,-37.64,32.0,16.11
37,Tuktoyaktuk,100,CA,1587212122,96,69.45,-133.04,13.8,10.04
38,Najrān,40,SA,1587212123,23,17.49,44.13,95.0,5.82
39,Nuristan,76,AF,1587212123,29,35.3,70.83,31.77,3.76
40,Cabo San Lucas,34,MX,1587212113,78,22.89,-109.91,64.99,5.99
41,East London,20,ZA,1587212124,73,-33.02,27.91,77.0,11.41
42,Aksu,99,CN,1587212124,30,41.12,80.26,64.67,2.3
43,Guerrero Negro,12,MX,1587212124,78,27.98,-114.06,57.61,12.5
